Year,Make,Model,Price,Mileage,URL
2008,Nissan,altima,3800,150000,https://www.facebook.com/marketplace/item/832621932270663/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870951108945616%22%2C%22mf_story_key%22%3A%228046728588753131%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8046728588753131%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A119%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228046728588753131%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2005,Hino,168,29500,145000,https://www.facebook.com/marketplace/item/8327055990659077/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870951108945616%22%2C%22mf_story_key%22%3A%227936211879808196%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7936211879808196%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A120%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227936211879808196%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2015,Ram,2500,29000,140000,https://www.facebook.com/marketplace/item/346371041863463/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870951108945616%22%2C%22mf_story_key%22%3A%227848917358509922%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7848917358509922%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A121%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227848917358509922%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2012,Honda,civic,6750,160000,https://www.facebook.com/marketplace/item/760046526319964/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870951108945616%22%2C%22mf_story_key%22%3A%2225983166597998507%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A25983166597998507%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A122%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2225983166597998507%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2008,Mercedes-Benz,c-class,5900,116000,https://www.facebook.com/marketplace/item/1047789820107198/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870951108945616%22%2C%22mf_story_key%22%3A%2226974419415505965%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A26974419415505965%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A123%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2226974419415505965%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2005,Subaru,forester,5500,149000,https://www.facebook.com/marketplace/item/505004792106732/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870951108945616%22%2C%22mf_story_key%22%3A%227971336896249101%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7971336896249101%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A124%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227971336896249101%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2011,Ford,fusion,5350,122000,https://www.facebook.com/marketplace/item/479080314885073/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870951108945616%22%2C%22mf_story_key%22%3A%2227266887402910364%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A27266887402910364%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A125%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%2227266887402910364%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2013,Lexus,RX,20999,76000,https://www.facebook.com/marketplace/item/1009065117142549/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870951108945616%22%2C%22mf_story_key%22%3A%228802630923086055%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A8802630923086055%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A126%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%228802630923086055%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2008,Honda,civic,4000,140000,https://www.facebook.com/marketplace/item/858001055748098/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870676133442473%22%2C%22mf_story_key%22%3A%227747465885352127%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7747465885352127%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A127%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227747465885352127%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
2015,Kia,optima,6500,118000,https://www.facebook.com/marketplace/item/2211652625858193/?ref=category_feed&referral_code=undefined&referral_story_type=listing&tracking=%7B%22qid%22%3A%22-1428870676133442473%22%2C%22mf_story_key%22%3A%227629078330552870%22%2C%22commerce_rank_obj%22%3A%22%7B%5C%22target_id%5C%22%3A7629078330552870%2C%5C%22target_type%5C%22%3A0%2C%5C%22primary_position%5C%22%3A128%2C%5C%22ranking_signature%5C%22%3A6185594387501758861%2C%5C%22commerce_channel%5C%22%3A504%2C%5C%22value%5C%22%3A0%2C%5C%22candidate_retrieval_source_map%5C%22%3A%7B%5C%227629078330552870%5C%22%3A111%7D%7D%22%7D&__tn__=!%3AD
